cup,result,group,date,matchnum,away,home,home_res,away_res,home_win,away_win,match,home_victories,away_victories,home_loss,away_loss,home_losses,away_losses,home_goals,away_goals,home_goals_against,away_goals_against
2002 FIFA World Cup Korea/Japan ™,1-0,Semi-finals,25 Jun 2002,Match 61,Korea Republic,Germany,1,0,1,0,61,4,3,0,1,0,0,13,6,1,3
2002 FIFA World Cup Korea/Japan ™,1-0,Semi-finals,26 Jun 2002,Match 62,Turkey,Brazil,1,0,1,0,62,5,3,0,1,0,1,15,7,9,2
2002 FIFA World Cup Korea/Japan ™,2-3,Third place,29 Jun 2002,Match 63,Turkey,Korea Republic,2,3,0,1,63,3,3,1,0,1,2,6,7,3,2
2002 FIFA World Cup Korea/Japan ™,0-2,Final,30 Jun 2002,Match 64,Brazil,Germany,0,2,0,1,64,5,6,1,0,0,0,14,16,1,9
1986 FIFA World Cup Mexico ™,3-0,Round of 16,18 Jun 1986,Match 43,Paraguay,England,3,0,1,0,43,1,1,0,1,1,0,3,4,0,3
1986 FIFA World Cup Mexico ™,1-5,Round of 16,18 Jun 1986,Match 44,Spain,Denmark,1,5,0,1,44,3,2,1,0,0,1,9,5,6,2
1986 FIFA World Cup Mexico ™,1-1,Quarter-finals,21 Jun 1986,Match 45,France,Brazil,1,1,0,0,45,4,3,0,0,0,0,9,7,0,1
1986 FIFA World Cup Mexico ™,0-0,Quarter-finals,21 Jun 1986,Match 46,Mexico,Germany FR,0,0,0,0,46,2,3,0,0,1,0,4,6,3,3
1998 FIFA World Cup France ™,1-2,Match for third place,11 Jul 1998,Match 63,Croatia,Netherlands,1,2,0,1,63,3,4,1,0,0,2,12,9,7,4
1998 FIFA World Cup France ™,0-3,Final,12 Jul 1998,Match 64,France,Brazil,0,3,0,1,64,4,5,1,0,1,0,14,12,11,4
1970 FIFA World Cup Mexico ™,3-1,Semi-finals,17 Jun 1970,Match 29,Uruguay,Brazil,3,1,1,0,29,4,2,0,1,0,1,12,3,11,0
1970 FIFA World Cup Mexico ™,4-3,Semi-finals,17 Jun 1970,Match 30,Germany FR,Italy,4,3,1,0,30,2,4,0,1,0,0,5,13,4,13
1970 FIFA World Cup Mexico ™,1-0,Match for third place,20 Jun 1970,Match 31,Uruguay,Germany FR,1,0,1,0,31,4,2,0,1,1,2,16,4,16,1
1970 FIFA World Cup Mexico ™,4-1,Final,21 Jun 1970,Match 32,Italy,Brazil,4,1,1,0,32,5,3,0,1,0,0,15,9,14,8
1982 FIFA World Cup Spain ™,0-1,Group 4,28 Jun 1982,Match 37,France,Austria,0,1,0,1,37,2,1,1,0,1,1,3,6,0,6
1982 FIFA World Cup Spain ™,3-0,Group 1,28 Jun 1982,Match 38,Belgium,Poland,3,0,1,0,38,1,2,0,1,0,0,5,3,5,1
1982 FIFA World Cup Spain ™,2-1,Group 3,29 Jun 1982,Match 39,Argentina,Italy,2,1,1,0,39,0,2,0,1,0,1,2,6,2,4
1982 FIFA World Cup Spain ™,0-0,Group 2,29 Jun 1982,Match 40,England,Germany FR,0,0,0,0,40,2,3,0,0,1,0,6,6,5,3
1982 FIFA World Cup Spain ™,2-2,Group 4,01 Jul 1982,Match 41,Northern Ireland,Austria,2,2,0,0,41,2,1,0,0,2,0,3,2,0,1
1974 FIFA World Cup Germany ™,2-0,Group A,03 Jul 1974,Match 34,Brazil,Netherlands,2,0,1,0,34,4,3,0,1,0,0,12,6,4,2
1974 FIFA World Cup Germany ™,1-1,Group A,03 Jul 1974,Match 33,German DR,Argentina,1,1,0,0,33,1,2,0,0,3,2,8,4,8,1
1974 FIFA World Cup Germany ™,2-1,Group B,03 Jul 1974,Match 36,Yugoslavia,Sweden,2,1,1,0,36,1,1,0,1,2,2,5,11,2,2
1974 FIFA World Cup Germany ™,0-1,Match for third place,06 Jul 1974,Match 37,Poland,Brazil,0,1,0,1,37,3,5,1,0,1,1,6,15,2,7
1950 FIFA World Cup Brazil ™,2-1,Group 1,02 Jul 1950,Match 14,Mexico,Switzerland,2,1,1,0,14,0,0,0,1,1,2,2,1,2,1
1950 FIFA World Cup Brazil ™,5-2,Group 2,02 Jul 1950,Match 15,USA,Chile,5,2,1,0,15,0,1,0,1,2,1,0,2,0,1
1950 FIFA World Cup Brazil ™,2-2,Group 6,09 Jul 1950,Match 17,Spain,Uruguay,2,2,0,0,17,1,3,0,0,0,0,8,6,0,3
1950 FIFA World Cup Brazil ™,7-1,Group 6,09 Jul 1950,Match 18,Sweden,Brazil,7,1,1,0,18,2,1,0,1,0,0,8,5,2,5
