cup,result,group,date,matchnum,away,home
2010 FIFA World Cup South Africa™,3-0,Round of 16,28 Jun 2010,Match 54,Chile,Brazil
2010 FIFA World Cup South Africa™,0-0,Round of 16,29 Jun 2010,Match 55,Japan,Paraguay
2014 FIFA World Cup Brazil™,0-0,Quarter-finals,05 Jul 2014,Match 59,Costa Rica,Netherlands
2014 FIFA World Cup Brazil™,1-7,Semi-finals,08 Jul 2014,Match 61,Germany,Brazil
2014 FIFA World Cup Brazil™,0-0,Semi-finals,09 Jul 2014,Match 62,Argentina,Netherlands
2014 FIFA World Cup Brazil™,0-3,Play-off for third place,12 Jul 2014,Match 63,Netherlands,Brazil
2010 FIFA World Cup South Africa™,1-0,Round of 16,29 Jun 2010,Match 56,Portugal,Spain
2010 FIFA World Cup South Africa™,2-1,Quarter-finals,02 Jul 2010,Match 57,Brazil,Netherlands
2010 FIFA World Cup South Africa™,1-1,Quarter-finals,02 Jul 2010,Match 58,Ghana,Uruguay
2010 FIFA World Cup South Africa™,0-4,Quarter-finals,03 Jul 2010,Match 59,Germany,Argentina
2014 FIFA World Cup Brazil™,1-0,Final,13 Jul 2014,Match 64,Argentina,Germany
2010 FIFA World Cup South Africa™,0-1,Quarter-finals,03 Jul 2010,Match 60,Spain,Paraguay
2010 FIFA World Cup South Africa™,2-3,Semi-finals,06 Jul 2010,Match 61,Netherlands,Uruguay
2010 FIFA World Cup South Africa™,0-1,Semi-finals,07 Jul 2010,Match 62,Spain,Germany
2010 FIFA World Cup South Africa™,2-3,Match for third place,10 Jul 2010,Match 63,Germany,Uruguay
2010 FIFA World Cup South Africa™,0-1,Final,11 Jul 2010,Match 64,Spain,Netherlands
1990 FIFA World Cup Italy ™,0-1,Group B,08 Jun 1990,Match 1,Cameroon,Argentina
1990 FIFA World Cup Italy ™,0-2,Group B,09 Jun 1990,Match 2,Romania,Soviet Union
1990 FIFA World Cup Italy ™,0-2,Group D,09 Jun 1990,Match 4,Colombia,United Arab Emirates
1990 FIFA World Cup Italy ™,1-0,Group A,09 Jun 1990,Match 3,Austria,Italy
1990 FIFA World Cup Italy ™,1-5,Group A,10 Jun 1990,Match 5,Czechoslovakia,USA
1990 FIFA World Cup Italy ™,2-1,Group C,10 Jun 1990,Match 6,Sweden,Brazil
1994 FIFA World Cup USA ™,2-2,Group C,17 Jun 1994,Match 2,Korea Republic,Spain
1978 FIFA World Cup Argentina ™,0-0,Group 2,01 Jun 1978,Match 1,Poland,Germany FR
1990 FIFA World Cup Italy ™,4-1,Group D,10 Jun 1990,Match 7,Yugoslavia,Germany FR
1990 FIFA World Cup Italy ™,1-0,Group C,11 Jun 1990,Match 8,Scotland,Costa Rica
1990 FIFA World Cup Italy ™,1-1,Group F,11 Jun 1990,Match 9,Republic of Ireland,England
1990 FIFA World Cup Italy ™,2-0,Group E,12 Jun 1990,Match 10,Korea Republic,Belgium
1994 FIFA World Cup USA ™,1-0,Group C,17 Jun 1994,Match 1,Bolivia,Germany
1994 FIFA World Cup USA ™,1-1,Group A,18 Jun 1994,Match 3,Switzerland,USA
1994 FIFA World Cup USA ™,0-1,Group E,18 Jun 1994,Match 4,Republic of Ireland,Italy
1994 FIFA World Cup USA ™,1-3,Group A,18 Jun 1994,Match 5,Romania,Colombia
1994 FIFA World Cup USA ™,1-0,Group F,19 Jun 1994,Match 6,Morocco,Belgium
1978 FIFA World Cup Argentina ™,2-1,Group 1,02 Jun 1978,Match 3,France,Italy
1978 FIFA World Cup Argentina ™,3-1,Group 2,02 Jun 1978,Match 4,Mexico,Tunisia
1978 FIFA World Cup Argentina ™,2-1,Group 1,02 Jun 1978,Match 2,Hungary,Argentina
1978 FIFA World Cup Argentina ™,1-1,Group 3,03 Jun 1978,Match 6,Brazil,Sweden
2006 FIFA World Cup Germany ™,4-2,Group A,09 Jun 2006,Match 1,Costa Rica,Germany
1990 FIFA World Cup Italy ™,1-1,Group F,12 Jun 1990,Match 11,Egypt,Netherlands
1990 FIFA World Cup Italy ™,0-0,Group E,13 Jun 1990,Match 12,Spain,Uruguay
1990 FIFA World Cup Italy ™,2-0,Group B,13 Jun 1990,Match 13,Soviet Union,Argentina
1990 FIFA World Cup Italy ™,2-1,Group B,14 Jun 1990,Match 16,Romania,Cameroon
1990 FIFA World Cup Italy ™,1-0,Group D,14 Jun 1990,Match 14,Colombia,Yugoslavia
2002 FIFA World Cup Korea/Japan ™,0-1,Group A,31 May 2002,Match 1,Senegal,France
1994 FIFA World Cup USA ™,1-0,Group E,19 Jun 1994,Match 7,Mexico,Norway
1994 FIFA World Cup USA ™,2-2,Group B,19 Jun 1994,Match 8,Sweden,Cameroon
1994 FIFA World Cup USA ™,2-1,Group F,20 Jun 1994,Match 10,Saudi Arabia,Netherlands
1994 FIFA World Cup USA ™,2-0,Group B,20 Jun 1994,Match 9,Russia,Brazil
1994 FIFA World Cup USA ™,4-0,Group D,21 Jun 1994,Match 11,Greece,Argentina
1978 FIFA World Cup Argentina ™,2-1,Group 3,03 Jun 1978,Match 5,Spain,Austria
1978 FIFA World Cup Argentina ™,3-1,Group 4,03 Jun 1978,Match 7,Scotland,Peru
